sample_reason,confidence,score,diagnostic_group,source_shape,token_overlap,char_overlap,shared_entity_count,relationship_type,thirumurai_no,paadal_id,link_id,source_text,target_text,diagnostic_note
diagnostic_group=overlaps_reviewed_split_or_gold,medium,0.274,overlaps_reviewed_split_or_gold,ordinary_phrase,0.0,0.0824,1,interprets_image,2,thirumurai_02_paadal_2561,ppl_v4_base_885ecb4c540b8ff9,அருக்கன் மண்டலத்து அணாவும் அம் தண் ஆரூர்,மத்தகம் முத்துக்களைச் சிந்தும் கயிலைமால்வரையைத் தனக்கு இடமாகக் கொண்ட சிவபிரானது ஊர் பசுமையான சோலைகளால் சூழப்பெற்றுக் கதிரோன் மண்டலத்தைக் கிட்டும் கொடிகள் கட்டப்பட்ட மாடமாளிகைகளை உடைய திருவாரூர்.,"Broad v2 parent overlaps a focused QA split/phrase rule; keep for diagnostics, not positive training."
diagnostic_group=overlaps_reviewed_split_or_gold,medium,0.288,overlaps_reviewed_split_or_gold,ordinary_phrase,0.25,0.087,0,theological_explanation,6,thirumurai_06_paadal_53,ppl_v4_base_51de17804f65e55b,போற்றி! என் தாதாய் போற்றி!,என் தந்தையே!,"Broad v2 parent overlaps a focused QA split/phrase rule; keep for diagnostics, not positive training."
diagnostic_group=overlaps_reviewed_split_or_gold,low,0.1229,overlaps_reviewed_split_or_gold,ordinary_phrase,0.0,0.0171,0,explains_phrase,1,thirumurai_01_paadal_1017,ppl_v4_base_57e188c2daadd0d4,பந்தி ஆர் கழல் சிந்தை செய்ம்மினே!,ஆலவாய்க் கோயிலிலுள்ள எந்தையாகிய சிவபெருமானுடைய அழிவில்லாத புகழுக்கு இருப்பிடமான திருவடிகளை மனங்கொள்ளுங்கள்.,"Broad v3 parent overlaps a v4 gold phrase; keep for diagnostics, not positive training."
diagnostic_group=overlaps_reviewed_split_or_gold,low,0.1232,overlaps_reviewed_split_or_gold,single_token,0.0,0.0186,0,interprets_image,1,thirumurai_01_paadal_100,ppl_v4_base_2bb35be1177935ff,எதிரும்,உடலிலிருந்து பிரிக்கப்பட்ட மயிர் நீங்கிய பிரமனது வெண்மையான தலையோட்டை உண்கலனாக் கொண்டு உலகெலாம் திரிந்து ஏற்கும் பலியை உணவாகக் கொள்ளுதற்கு எருது ஏறி வருவதோடு முதிர்ந்த சடைமுடியின் மீது வெண்பிறையைச் சூடித் திருவடிகளில் அதிரும் வீரக் கழல்களோடு விளங்கும் சிவபிரானுக்குரிய இடம் திருவண்ணாமலையாகும்.,"Broad v3 parent overlaps a v4 gold phrase; keep for diagnostics, not positive training."
diagnostic_group=strong_link,high,0.5202,strong_link,punctuated_phrase,0.0769,0.2,1,theological_explanation,4,thirumurai_04_paadal_640,ppl_v4_base_92b33f9795953b54,சேடு எறி சடையர் போலும்; தீவினை தீர்க்க வல்ல,"பெருமையை வெளிப்படுத்தும் சடையில் அடக்கியவராய், தீவினையைத் தீர்க்க வல்லவராய்,",High-confidence link with strong lexical/entity/containment evidence.
diagnostic_group=strong_link,high,0.5203,strong_link,punctuated_phrase,0.125,0.1833,1,theological_explanation,5,thirumurai_05_paadal_1240,ppl_v4_base_e8aff44923b75ced,"படையனை, மழுவாளொடு; பாய்தரும்","உணர்வார் வினைதீர்த்திடும் மழுவாளொடு பிறவும் படை உடையவனை,",High-confidence link with strong lexical/entity/containment evidence.
diagnostic_group=v4_gold_match,high,0.96,v4_gold_match,single_token,0.0,0.0,0,explains_phrase,1,thirumurai_01_paadal_1,ppl_v4_3885563a50c31185,அன்றே,அல்லனோ,v4 gold seed matched using pozhppurai.
diagnostic_group=v4_gold_match,high,0.96,v4_gold_match,single_token,0.0,0.0,0,explains_phrase,1,thirumurai_01_paadal_10,ppl_v4_79c1a731bb136877,அன்றே,அல்லனோ,v4 gold seed matched using pozhppurai.
diagnostic_group=v4_gold_match,medium,0.82,v4_gold_match,single_token,0.0,0.2,0,describes_entity,1,thirumurai_01_paadal_1016,ppl_v4_f83a2ba21f5c81eb,ஆலவாயிலார்,ஆலவாய் இறைவரை,v4 gold seed matched using pozhppurai.
diagnostic_group=v4_gold_match,medium,0.82,v4_gold_match,single_token,0.0,0.0714,0,describes_entity,1,thirumurai_01_paadal_1016,ppl_v4_48855114d3d955b0,காலகாலனார்,காலனுக்குக் காலனாய் அவனை அழித்தருளிய பெருவீரரும்,v4 gold seed matched using pozhppurai.
diagnostic_group=weak_similarity,low,0.1941,weak_similarity,punctuated_phrase,0.0,0.0338,1,describes_entity,1,thirumurai_01_paadal_445,ppl_v4_base_82c4addfcb7ebd56,"கடி படு கமலத்து அயனொடு மாலும், காதலோடு",முடி சூடிய அமரர்களும் முனிகணத்தவர்களும் முறையாகத் தம் திருவடிகளைப் பணிந்து ஏத்துதற்கு உரிய தகுதி வாய்ந்த இடமாகக் கொண்டு உமையம்மையும் தாமுமாய்த் திருப்பாம்புர நன்னகரில் விளங்கும் இறைவர் மணம் பொருந்திய தாமரை மலர் மேல் விளங்கும் பிரமனும் திருமாலும் அன்போடு அடிமுடி தேடத் தீவண்ணராய்க் கிளைத்த வினைகள் பலவ,The link has only weak combined similarity evidence.
diagnostic_group=weak_similarity,low,0.1954,weak_similarity,punctuated_phrase,0.0,0.0806,1,explains_phrase,1,thirumurai_01_paadal_1159,ppl_v4_base_cb144073daf5bae3,"தொத்து அலர் செஞ்சடைமேல்-துதைய உடன் சூடி,",செஞ்சடைமீது நல்ல ஊமத்த மலரையும் இளமதியையும் கொத்தாக அலரும் கொன்றை மலருடன் ஒருசேரநெருங்கச் சூடிப் பூங்கொத்துக்கள் அலரும் தண்ணிய பொழில் சூழ்ந்த கொடிமாடச் செங்குன்றூரில் எழுந்தருளிய தத்துவனைத் தொழுவார் தடுமாற்றங்கள் இலராவர்.,The link has only weak combined similarity evidence.
source_shape=long_line,high,0.5228,strong_link,long_line,0.0,0.2222,2,explains_phrase,2,thirumurai_02_paadal_2508,ppl_v4_base_993645b9c6eb59b9,காவல் ஆர் மதில் சூழ்ந்த கடி பொழில் காழி நன்நகரே.,காவலாக அமைந்த மதில்கள் சூழ்ந்ததும் மணம் பொருந்திய பொழில்களை உடையதுமான சீகாழி நன்னகர் ஆகும்.,High-confidence link with strong lexical/entity/containment evidence.
source_shape=long_line,high,0.5236,strong_link,long_line,0.0,0.102,2,interprets_image,2,thirumurai_02_paadal_1922,ppl_v4_base_396f367734c16155,விண் ஒளி சேர் மா மதியம் தீண்டியக்கால் வெண் மாடம்,"பாடலிலும் ஆடலிலும் வல்லவனும், ஒளிசெறிந்த கண்பொருந்திய நெற்றியினனும் ஆகிய சிவபெருமான் காதலித்த பழமையான கோயில், வானவெளியில் உலாவும் பெரிய மதியொளி சேர்தலால் வெண்மையான மாடவீடுகள் குளிர்ந்த ஒளியைப் பெறும் ஆக்கூரில் விளங்கும் தான் தோன்றிமாடம் ஆகும்.",High-confidence link with strong lexical/entity/containment evidence.
source_shape=long_line,medium,0.2734,medium_similarity,long_line,0.0909,0.1295,0,interprets_image,4,thirumurai_04_paadal_603,ppl_v4_base_7f29020cb47ed722,வெண் தலை கையில் ஏந்தி மிகவும் ஊர் பலி கொண்டு என்றும்,உலகத் தலைவனே! ஆலவாய் அப்பனே! வெள்ளிய மண்டையோட்டைக் கையில் ஏந்தி மிகவும் ஊர்களில் பிச்சையெடுத்தும் அப்பிச்சை உணவை உண்ணாது விடம் ஒன்றையே உண்டவன் என்று சொல்லப் படும் உன்னை அடியேன் வாழ்வின் முற்பகுதியில் விருப்புற்று நினைக்காத குற்றத்தினேன்.,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=long_line,medium,0.2747,medium_similarity,long_line,0.0333,0.0847,0,interprets_image,1,thirumurai_01_paadal_894,ppl_v4_base_eb36c6df6b3f42a0,ஊன் ஆர் தலை தன்னில் பலி கொண்டு உழல் வாழ்க்கை,"பிறைமதி, கங்கை ஆகியவற்றை முடியில் சூடி, வானளாவிய பொழில்சூழ்ந்த அம்பர் மாகாளத்தில் எழுந்தருளிய ஊன் பொருந்திய தலையோட்டில் பலியேற்றுத் திரியும் வாழ்க்கையை மேற்கொண்ட பெருமான் திருவடிகளைப் போற்றத் துன்பங்கள் நம்மை அடையா.",Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=long_line,low,0.1256,low_lexical_overlap,long_line,0.0,0.0329,0,theological_explanation,7,thirumurai_07_paadal_678,ppl_v4_base_b8f6f0457fe39818,அடிகளை என் மனத்தினால் நினைந்த போது அவர் நமக்கு இனிய ஆறே! .,நறுமணத்தைக் கொண்ட பூக்களையுடைய பொய்கையின் கரைகளில் கரிய எருமைகள் மிக்கு உறங்குகின்ற திருக்கருப்பறியலூரில் உள்ள கொகுடிக் கோயிலில் கொடிபோலும்,The paadal line and selected pozhppurai target share little surface vocabulary.
source_shape=long_line,low,0.1277,low_lexical_overlap,long_line,0.0,0.045,0,interprets_image,4,thirumurai_04_paadal_227,ppl_v4_base_a7c6b33413ed77d0,நீலம் சேர் கண்டனார் தாம்- நீண்டு எரி ஆடும் ஆறே!,பாலனாகவும் மூத்தோனாகவும் காட்சி வழங்கிக் குளிர்ந்த பிறை ஒளிவீசும் சென்னியராய்க் காலனை காலான் வெகுண்ட பெருமானார் காளையை இவர்ந்து உலகவர் கூடி வணங்கும் தில்லையம்பதியில் சிறப்பாகப் போற்றப்படும் சிற்றம்பலத்திலே நீலகண்டராய் விரிவாக ஞானத் தீயிடைக் கூத்து நிகழ்த்தும் காட்சியைக் காணலாம்.,The paadal line and selected pozhppurai target share little surface vocabulary.
source_shape=long_line,no_link,0.0,missing_or_unlinked,long_line,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_644,ppl_v4_base_5882e46d0fa9e3d7,மண் ஆர் முழவு அதிரும் மாட வீதி வயல் காழி,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=long_line,no_link,0.0,missing_or_unlinked,long_line,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_645,ppl_v4_base_adb4e220b06ed27f,ஒண் தரங்க இசை பாடும் அளி அரசே! ஒளி மதியத்,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=numeric_only,medium,0.3467,medium_similarity,numeric_only,0.5,0.0,0,glosses_word,3,thirumurai_03_paadal_2978,ppl_v4_base_f0dfebe08ed84424,3,3 ப.,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=numeric_only,medium,0.4541,medium_similarity,numeric_only,1.0,0.0,0,glosses_word,3,thirumurai_03_paadal_3734,ppl_v4_base_92f489fdde9f7029,1,1.,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=numeric_only,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,explains_phrase,3,thirumurai_03_paadal_2852,ppl_v4_base_65fd56159d8d55b4,8,யானையின் தோலை உரித்துப் போர்த்தித் திருப்பூந்தராய் என்னும் தலத்தில் விரும்பி எழுந்தருளியுள்ள எனது பிஞ்ஞகனாகிய சிவபெருமானே தனது திருவடி விரல் ஒன்றினால் அரக்கனது ஆற்றலை அழித்துப் பின்னர் அவனுக்கு அருள் செய்தான்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
source_shape=numeric_only,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,theological_explanation,3,thirumurai_03_paadal_2901,ppl_v4_base_dada6d55d5a01bd4,2,சீதாப்பிராட்டியைக் கவர்ந்த தென்னிலங்கை மன்னனான தசமாமுகனின் பூச்சூடிய முடியையுடைய தலைகளை அறுத்துக் கொன்ற பழி நீங்குமாறு அம்பினைச் செலுத்தும் வில்லையுடைய அண்ணலாகிய இராமபிரான் வழிபட்ட இராமேச்சுரத்தை இடைவிடாது சிந்திப்பவர்களின் வினை அழியும்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
source_shape=numeric_only,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3056,ppl_v4_base_4bd790511eed5da8,5,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=numeric_only,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3548,ppl_v4_base_2da1aa52e174751d,1,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=ordinary_phrase,high,0.5203,strong_link,ordinary_phrase,0.0526,0.1269,2,explains_phrase,3,thirumurai_03_paadal_2860,ppl_v4_base_c12023df763649b1,கொன்றை பொன் சொரியும் கொள்ளம்பூதூர்,கொன்றை மரமானது பொன்னிறப் பூக்களை உதிர்க்கின்ற திருக்கொள்ளம்பூதூரில் எழுந்தருளியுள்ள நிமலனைத் தியானிக்க இந்த ஓடமானது ஆற்றைக் கடக்கத் தனக்குத் தானே தள்ளப்படுவதாக.,High-confidence link with strong lexical/entity/containment evidence.
source_shape=ordinary_phrase,high,0.5203,strong_link,ordinary_phrase,0.0385,0.1782,1,explains_phrase,5,thirumurai_05_paadal_1698,ppl_v4_base_0b9e3b3cf202b18f,கடுவாய்த்தென்கரைப்புத்தூர் அடிகட்கு ஆட்-,"பிச்சையிடுவார் இட்ட சோற்றுருண்டையினைப் பெற்றுத் தம் பெரிய கொடிய வாயில் இடும் சமணர்களது கட்டியுரைக்கும் பேச்சைக்கொள்ளாமல், கடுவாய்த்தென்கரைப் புத்தூரின் கண் எழுந்தருளியுள்ள அடிகட்கு ஆட்படப் பெற்று நான் பெரும் பாக்கியம் செய்தவன் ஆயினேன்.",High-confidence link with strong lexical/entity/containment evidence.
source_shape=ordinary_phrase,medium,0.2701,medium_similarity,ordinary_phrase,0.0,0.0101,0,explains_phrase,1,thirumurai_01_paadal_123,ppl_v4_base_f792edeeef316bfd,கறை ஆர்,"கூரிய மூவிலை வடிவாய் அமைந்த குருதிக் கறைபடிந்த அழகிய நீண்ட வேலின் முனையில் குத்தி ஏந்திய சிவபெருமானது இடம் யாதெனில்,",Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=ordinary_phrase,medium,0.2702,medium_similarity,ordinary_phrase,0.125,0.1138,0,interprets_image,5,thirumurai_05_paadal_1432,ppl_v4_base_cba537f298fc8f32,கலவர் ஆவதன் காரணம் என்கொலோ-,"பொட்டணிந்தவரும், நீண்ட சடாமுடி உடையவருமாகிய செம்பொன்பள்ளி இறைவர் கங்கையைச் சூடியவராய், பாம்பும் குளிர்பிறையும் கலந்தவராய் ஆவதன் காரணம் என்னையோ?.",Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=ordinary_phrase,low,0.12,order_only_weak_match,ordinary_phrase,0.0,0.0,0,describes_entity,1,thirumurai_01_paadal_445,ppl_v4_base_5948f64c138ebd2a,படி அது,முடி சூடிய அமரர்களும் முனிகணத்தவர்களும் முறையாகத் தம் திருவடிகளைப் பணிந்து ஏத்துதற்கு உரிய தகுதி வாய்ந்த இடமாகக் கொண்டு உமையம்மையும் தாமுமாய்த் திருப்பாம்புர நன்னகரில் விளங்கும் இறைவர் மணம் பொருந்திய தாமரை மலர் மேல் விளங்கும் பிரமனும் திருமாலும் அன்போடு அடிமுடி தேடத் தீவண்ணராய்க் கிளைத்த வினைகள் பலவ,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
source_shape=ordinary_phrase,low,0.12,order_only_weak_match,ordinary_phrase,0.0,0.0,0,theological_explanation,1,thirumurai_01_paadal_941,ppl_v4_base_c707ef8c54e7fb30,அணி ஆர்,துணிக்கப் பெற்றதாகிய கோவண ஆடையை இடையிலே தரித்து அதன்மேல் தீப்போன்ற விட வெம்மை தணியாத நாகத்தை அழகுறத் தரித்தவராகிய அடிகள் அடியவர் பலரும் பணிந்து பரவி வாழ்த்த அழகிய வடுகூரில் ஆடியருள்கின்றார்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
source_shape=ordinary_phrase,no_link,0.0,missing_or_unlinked,ordinary_phrase,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3576,ppl_v4_base_174759f4915af662,அது ஆர்,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=ordinary_phrase,no_link,0.0,missing_or_unlinked,ordinary_phrase,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_439,ppl_v4_base_b4e92943b29d66fb,நல் அரவு,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=punctuated_phrase,high,0.5202,strong_link,punctuated_phrase,0.0769,0.2,1,theological_explanation,4,thirumurai_04_paadal_640,ppl_v4_base_92b33f9795953b54,சேடு எறி சடையர் போலும்; தீவினை தீர்க்க வல்ல,"பெருமையை வெளிப்படுத்தும் சடையில் அடக்கியவராய், தீவினையைத் தீர்க்க வல்லவராய்,",High-confidence link with strong lexical/entity/containment evidence.
source_shape=punctuated_phrase,high,0.5203,strong_link,punctuated_phrase,0.125,0.1833,1,theological_explanation,5,thirumurai_05_paadal_1240,ppl_v4_base_e8aff44923b75ced,"படையனை, மழுவாளொடு; பாய்தரும்","உணர்வார் வினைதீர்த்திடும் மழுவாளொடு பிறவும் படை உடையவனை,",High-confidence link with strong lexical/entity/containment evidence.
source_shape=punctuated_phrase,medium,0.27,medium_similarity,punctuated_phrase,0.0526,0.1232,0,explains_phrase,5,thirumurai_05_paadal_1246,ppl_v4_base_805bf5845ae59588,"கூரிய(க்) குணத்தார் குறி நின்றவன்,","ஆரியமும், தமிழும், இசையும் ஆனவனும் மிக்க குணத்தார் குறியாக நின்றவனும் ஒருபாற் பார்வதிதேவியாரை உடையவனுமாகிய பெருமான் வீற்றிருக்கும் கடம்பந்துறை சென்றடைவீர்களாக.",Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=punctuated_phrase,medium,0.2702,medium_similarity,punctuated_phrase,0.0217,0.05,0,describes_entity,6,thirumurai_06_paadal_210,ppl_v4_base_157922a2f9b84756,"இராவணனை இருபது தோள் நெரிய ஊன்றி,",தான் சாகா வரம் பெற்றானாகச் செருக்கிய இராவணனை அவன் தோள்கள் இருபதும் நசுங்குமாறு திருவடி விரலை ஊன்றியவனாய்ப் உடைய மும்மதில்களையும் தீயிட்டுக் கொளுத்தி அழித்தவனாய்த் தன்னை அடைந்து வேண்டியவர் வேண்டியதை ஈவானாய்ச் 'சிவபெருமானே எம் இறைவன்' என்று அவனையே வழிபட்டுக் கொண்டிருக்கும் அடியவர்களுக்கு எல்லா நலன்களா,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=punctuated_phrase,low,0.12,order_only_weak_match,punctuated_phrase,0.0,0.0,0,theological_explanation,2,thirumurai_02_paadal_2268,ppl_v4_base_8f268dbbf53267b3,"புகலி, பூமேல்",நாம் கருதும் ஊர் பிரமபுரம் முதலான பன்னிரு பெயர்களையுடைய கழுமலமாகும்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
source_shape=punctuated_phrase,low,0.12,order_only_weak_match,punctuated_phrase,0.0,0.0,0,theological_explanation,2,thirumurai_02_paadal_2268,ppl_v4_base_a06b5f9f0dc274ca,"காழி, கொச்சை,",நாம் கருதும் ஊர் பிரமபுரம் முதலான பன்னிரு பெயர்களையுடைய கழுமலமாகும்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
