link_id,hardening_category,current_confidence,current_score,relationship_type,thirumurai_no,paadal_id,source_text,target_text,surface_overlap_estimate,shared_entity_types_before,synonym_score_before,recommended_algorithm_action,features_to_compute,proposed_confidence_policy,manual_review_needed_after_hardening,diagnostic_note
ppl_v4_base_89dccaaa4102f8f9,low_ambiguous_multiple_targets,low,0.3026,interprets_image,1,thirumurai_01_paadal_1350,நுரை தரு கடல் விடம் நுகர்பவன்-எழில் திகழ்,"நுரையுடன் வெளிப்பட்ட விடம், கடலில் பொருந்த",0.0909,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_53a526cc48391e64,low_ambiguous_multiple_targets,low,0.2283,interprets_image,1,thirumurai_01_paadal_1350,உரை தரும் அடியவர் உயர்கதியினரே,வாசுகியின் உடல் அழலெழ வந்த நுரையோடு கூடிய விடத்தை நுகர்ந்தவனது சிவபுரத்தைப் புகழ்பவர் உயர்கதியினர் என்கின்றது. வரை - மந்தரமலை,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_96435cff8ef8ba09,low_ambiguous_multiple_targets,low,0.2034,interprets_image,1,thirumurai_01_paadal_1395,"விடல் ஏறு படநாகம் அரைக்கு அசைத்து, வெற்பு",கொல்லுதலாகிய குற்றம் பொருந்திய படத்தினையுடைய நாகத்தை இடையிற் கட்டி,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_9a2fbb267f726f47,low_ambiguous_multiple_targets,low,0.2306,interprets_image,1,thirumurai_01_paadal_1402,"மேல் ஓடி விசும்பு அணவி, வியன் நிலத்தை","அன்னமாய் மேலே பறந்து சென்று வானத்தைக் கலந்தும், அகன்ற நிலத்தை ஆழமாக அகழ்ந்தும் முயற்சியோடு தேடிய நான்முகன்",0.0556,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_d004a72b6388e452,low_ambiguous_multiple_targets,low,0.2075,describes_entity,1,thirumurai_01_paadal_1403,குண்டாடு குற்று உடுக்கைச் சமணரொடு,இழிசெயல்களில் ஈடுபடுவோராய்ச் சிறிய ஆடையினராய்த் திரியும் சமணர்களும்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_9dda0c95a34139b2,low_ambiguous_multiple_targets,low,0.2438,interprets_image,1,thirumurai_01_paadal_1412,கதிர் ஒளிய நெடுமுடிபத்து உடைய கடல்,கதிரவன் போன்ற ஒளியுடைய நீண்ட மகுடங்களைச் சூடிய பத்துத் தலைகளையுடைய இராவணன் கண்களும்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_cad7f8ddc8923703,low_ambiguous_multiple_targets,low,0.2735,describes_entity,1,thirumurai_01_paadal_1422,"ஆறு ஆடு சடைமுடியன், அனல் ஆடு மலர்க்கையன்",கங்கையணிந்த சடைமுடியை உடையவனும்,0.0000,BODY_PART,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_af6400159584c0a0,low_ambiguous_multiple_targets,low,0.202,describes_entity,1,thirumurai_01_paadal_1442,"அரவு உற்ற நாணா, அனல் அம்பு அது ஆக",தெருக்களில் நடப்பட்ட கொடிகளால் சூழப்பெற்ற திருப்பறியலூரில்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_2c1392404bb4fad8,low_ambiguous_multiple_targets,low,0.2041,interprets_image,1,thirumurai_01_paadal_1449,"கந்தம் ஆம் மலர்க்கொன்றை, கமழ் சடை","பசுமையான குளிர்ந்த குருக்கத்திக் கொடிகள் சூழ்ந்த திருப்பராய்த்துறையில் விளங்கும் அழிவற்றவராகிய இறைவர், மணங்கமழும் சிறந்த மலர்களும், கொன்றையும் மணக்கும் சடைமுடியின்மேல் பெருக்கெடுத்து வந்த கங்கை நதியை வைத்துள்ளவர்",0.0000,"BODY_PART,NATURE,SACRED_OBJECT,SACRED_TREE",0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_3ea4a0007bc8abf4,low_ambiguous_multiple_targets,low,0.262,interprets_image,1,thirumurai_01_paadal_1452,"விரவி நீறு மெய் சுவர், மேனிமேல்",திருப்பராய்த்துறையில் பாம்பை இடையில் கட்டியவராய் விளங்கும் பரமர்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_c8bd60d18407deed,low_ambiguous_multiple_targets,low,0.201,explains_phrase,1,thirumurai_01_paadal_1452,பரவினார் அவர் வேதம் பராய்த்துறை,திருநீற்றைத் தம் மேனிமேல் விரவப்பூசியவர்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_1db22ddde8722a28,low_ambiguous_multiple_targets,low,0.2025,explains_phrase,1,thirumurai_01_paadal_1455,தருக்கின் மிக்க தசக்கிரிவன் தனை,திருப்பராய்த்துறையில் எழுந்தருளிய இறைவர்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_8bfbd290aca6382a,low_ambiguous_multiple_targets,low,0.2188,interprets_image,1,thirumurai_01_paadal_1459,மாதர் மடப்பிடியும் மட அன்னமும் அன்னது ஓர்,விரும்பத்தக்க இளம்பிடியையும்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_acd6c100f35621eb,low_ambiguous_multiple_targets,low,0.274,interprets_image,1,thirumurai_01_paadal_1468,"புத்தர், கடத் துவர் மொய்த்து உறி புல்கிய கையர், பொய்","புத்தர்களாகிய தத்துவாதிகளும், உறிகளை ஏந்திய கையினராய்த் திரியும் சமணர்களும் கூறும் பொய் மொழிகளினின்று நீங்கிய நல்ல தவத்தை உடையவர்களும்",0.0476,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_7a97da6e735a8b07,low_ambiguous_multiple_targets,low,0.2039,interprets_image,1,thirumurai_01_paadal_15,நீரின்,கங்கை நீரால் நிறைவுற்ற சடைமுடியை உடையவன்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_a96131d916247be8,low_missing_entity_anchor,low,0.1915,interprets_image,1,thirumurai_01_paadal_1020,அம் பொன்-ஆலவாய் நம்பனார் கழல்,அழகிய பொன்மயமான ஆலவாய்த் திருக்கோயிலில் விளங்கும் இறைவனுடைய திருவடிகளே நமக்குச் சார்வாகும் என நம்பி வாழ்பவரின் துன்பம் நீங்கும்,0.0000,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_b54d93d2377bc64c,low_missing_entity_anchor,low,0.2439,describes_entity,1,thirumurai_01_paadal_1020,நம்பி வாழ்பவர் துன்பம் வீடுமே,அழகிய பொன்மயமான ஆலவாய்த் திருக்கோயிலில் விளங்கும் இறைவனுடைய திருவடிகளே நமக்குச் சார்வாகும் என நம்பி வாழ்பவரின் துன்பம் நீங்கும்,0.1250,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_8e57f4e3889e2f77,low_missing_entity_anchor,low,0.2257,explains_phrase,1,thirumurai_01_paadal_1021,அரக்கனார் வலி நெருக்கன் ஆலவாய்,அரக்கனாகிய பெருவலிபடைத்த இராவணனைக் கால் விரலால் நெரித்தருளிய ஆலவாய் அரன் புகழை உரைக்கும் உள்ளத்தார்க்கு அவனது கருணை உளதாகும்,0.0588,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_e932fca71ff8c4ac,low_missing_entity_anchor,low,0.249,explains_phrase,1,thirumurai_01_paadal_1021,"உரைக்கும் உள்ளத்தார்க்கு, இரக்கம் உண்மையே",அரக்கனாகிய பெருவலிபடைத்த இராவணனைக் கால் விரலால் நெரித்தருளிய ஆலவாய் அரன் புகழை உரைக்கும் உள்ளத்தார்க்கு அவனது கருணை உளதாகும்,0.1250,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_5da20af542c23cf8,low_missing_entity_anchor,low,0.1811,theological_explanation,1,thirumurai_01_paadal_1022,"இருவர் ஏத்த, நின்று உருவம் ஓங்குமே",அருவனாய் விளங்கும் இறைவன் திருவாலவாயில் திருமால் பிரமர் ஆகிய இருவர் போற்றும் உருவனாய் மருவி ஓங்கி நிற்கின்றான்,0.0588,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_e8826f9a2a615f1c,low_missing_entity_anchor,low,0.3046,glosses_word,1,thirumurai_01_paadal_1025,தோடு ஓர் காதினன்; பாடு மறையினன்,"திருவிடைமருதூர் இறைவன் தோட்டை, இடத் திருச்செவியில் அணிந்தவனாய் நான்கு வேதங்களைப் பாடுபவனாய்",0.0000,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_42a78396b6294188,low_missing_entity_anchor,low,0.177,theological_explanation,1,thirumurai_01_paadal_1033,இருவர்க்கு எரி ஆய உருவம் மருதரைப்,திருமால் பிரமர் அடிமுடி அறிய முடியாதவாறு எரி உருவமாய் நின்ற மருதவாணரைப் புகழ்ந்து ஏத்தித் துதிப்பவர் எல்லா நலன்களோடும் மருவி வாழும் வாழ்க்கையைப் பெறுவர்,0.0455,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_9d9863959e08e3d4,low_missing_entity_anchor,low,0.1803,theological_explanation,1,thirumurai_01_paadal_1033,பரவி ஏத்துவார் மருவி வாழ்வரே,திருமால் பிரமர் அடிமுடி அறிய முடியாதவாறு எரி உருவமாய் நின்ற மருதவாணரைப் புகழ்ந்து ஏத்தித் துதிப்பவர் எல்லா நலன்களோடும் மருவி வாழும் வாழ்க்கையைப் பெறுவர்,0.0476,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_8797ee9c43f27895,low_missing_entity_anchor,low,0.2251,describes_entity,1,thirumurai_01_paadal_1035,"கருது சம்பந்தன், மருதர் அடி பாடி",இறைவன் திருவருளையே கருதும் ஞானசம்பந்தன் மருதவாணரின் திருவடிகளைப் பெரிதும் போற்றிப் பாடிய இத்தமிழ் மாலையை ஓதுபவர்க்குத் துன்புறுத்திய வினைகள் போகும்,0.0000,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_8ef1a571baabbcde,low_missing_entity_anchor,low,0.263,describes_entity,1,thirumurai_01_paadal_1042,அந்தணாளர்தம் தந்தை! அன்னியூர்,அந்தணர்களின் தந்தையாக விளங்கும் அன்னியூர் இறைவனை எந்தையே என அழைக்க மலமாயைகள் நீங்கும்,0.0833,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_d03120cda45fdef3,low_missing_entity_anchor,low,0.2021,describes_entity,1,thirumurai_01_paadal_1042,"என, பந்தம் நீங்குமே",அந்தணர்களின் தந்தையாக விளங்கும் அன்னியூர் இறைவனை எந்தையே என அழைக்க மலமாயைகள் நீங்கும்,0.0833,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_433d4a70b26e5cb6,low_missing_entity_anchor,low,0.1857,theological_explanation,1,thirumurai_01_paadal_1043,தூர்த்தனைச் செற்ற தீர்த்தன் அன்னியூர்,காமாந்தகனாகிய இராவணனைத் தண்டித்த புனிதனாகிய அன்னியூர் இறைவனை அடைந்து அன்புக்குரியவனாக அவனைப் போற்றி வாழுங்கள்,0.0714,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_c5af80d27d1b3b19,low_missing_entity_anchor,low,0.1844,theological_explanation,1,thirumurai_01_paadal_1043,"ஆத்தமா அடைந்து, ஏத்தி வாழ்மினே",காமாந்தகனாகிய இராவணனைத் தண்டித்த புனிதனாகிய அன்னியூர் இறைவனை அடைந்து அன்புக்குரியவனாக அவனைப் போற்றி வாழுங்கள்,0.0714,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_f1e8d60996d4e300,low_missing_entity_anchor,low,0.1831,explains_phrase,1,thirumurai_01_paadal_1044,இருவர் நாடிய அரவன் அன்னியூர்,திருமால் பிரமர்களால் அடிமுடி தேடப்பட்ட அரவை அணிகலனாகப் பூண்ட அன்னியூர் இறைவனைப் பரவித் துதிப்பவர் தேவருலகில் இந்திரராவர்,0.0625,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_50232a5c44efbd92,low_missing_entity_anchor,low,0.218,explains_phrase,1,thirumurai_01_paadal_1046,பூந்தராய்ப் பந்தன் ஆய்ந்த பாடலால்,பூந்தராய் என்னும் சீகாழிப் பதியில் தோன்றிய ஞானசம்பந்தன் ஆய்ந்து சொல்லிய பாடல்களைப் பாடி அன்னியூர் வேந்தனாகிய சிவபிரானைச் சேர்ந்து வாழ்வீர்களாக,0.0000,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_f52135790233ded0,low_missing_entity_anchor,low,0.2445,explains_phrase,1,thirumurai_01_paadal_1046,"வேந்தன் அன்னியூர் சேர்ந்து, வாழ்மினே",பூந்தராய் என்னும் சீகாழிப் பதியில் தோன்றிய ஞானசம்பந்தன் ஆய்ந்து சொல்லிய பாடல்களைப் பாடி அன்னியூர் வேந்தனாகிய சிவபிரானைச் சேர்ந்து வாழ்வீர்களாக,0.1176,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_7b2d91947c6be394,low_missing_entity_anchor,low,0.3016,describes_entity,1,thirumurai_01_paadal_105,அளவா வணம் அழல் ஆகிய,தளராத தனபாரங்களையும் மலர்ந்த சிரிப்பையும் உடைய உமையம்மையின் கணவனும் ஆகிய சிவபிரானின் திருவடிகளே நமக்குக் காப்பு,0.0667,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
ppl_v4_base_5d6e9e3a241b31c9,low_missing_entity_anchor,low,0.2644,explains_line,1,thirumurai_01_paadal_1053,எண் திசையோர் அஞ்சிடு வகை கார் சேர் வரை என்ன,எண்திசையில் உள்ளாரும் அஞ்சிடுமாறு கரிய மலைபோலவும்,0.0000,,0.0,rerun_expanded_entity_anchor_detection,"expanded_entity_anchor_score,thalam_deity_anchor_score,myth_event_alignment_score",medium_or_high_after_semantic_anchor,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span",No accepted Entity v2 anchor overlaps both source and target spans.
